timestamp,acceleration.x,acceleration.y,acceleration.z
1.487304696247e+12,0.01,0.00,1.05
1.48730469674e+12,-0.01,0.03,0.99
1.48730469722e+12,0.00,0.02,0.99
1.487304697716e+12,-0.03,0.03,1.01
1.487304698213e+12,0.02,0.03,0.91
1.487304698708e+12,-0.03,0.09,1.03
1.487304699204e+12,-0.03,0.07,0.97
1.4873046997e+12,-0.07,0.05,1.04
1.487304700196e+12,-0.11,0.01,1.10
1.487304700692e+12,-0.15,0.01,1.00
1.487304701187e+12,-0.17,0.05,1.02
1.487304701699e+12,-0.17,0.13,1.04
1.48730470218e+12,-0.15,0.01,0.92
1.487304702675e+12,-0.18,-0.11,1.19
1.487304703187e+12,-0.06,-0.01,1.08
1.487304703666e+12,-0.00,-0.06,0.89
1.487304704164e+12,-0.07,0.02,0.81
1.487304704663e+12,-0.07,-0.07,1.15
1.487304705156e+12,-0.01,-0.14,0.86
1.487304705651e+12,-0.07,-0.02,0.97
1.487304706148e+12,-0.16,-0.13,1.05
1.487304706646e+12,-0.10,-0.07,0.95
1.487304707122e+12,-0.06,-0.07,0.95
1.487304707637e+12,-0.06,-0.06,1.05
1.487304708114e+12,-0.07,-0.12,0.95
1.487304708629e+12,-0.06,-0.17,1.02
1.487304709122e+12,-0.15,-0.14,1.03
1.487304709622e+12,-0.15,-0.14,1.04
1.487304710115e+12,-0.09,-0.17,0.98
1.487304710612e+12,-0.02,-0.08,0.91
1.487304711091e+12,-0.12,-0.13,0.99
1.487304711588e+12,-0.15,-0.12,0.98
1.487304712082e+12,-0.07,-0.09,0.97
1.48730471258e+12,-0.15,-0.09,1.10
1.487304713075e+12,-0.13,-0.16,1.00
1.48730471357e+12,-0.10,-0.09,0.99
1.487304714066e+12,-0.11,-0.09,1.02
1.487304714578e+12,-0.15,-0.03,1.06
1.487304715074e+12,-0.11,-0.06,1.00
1.48730471557e+12,-0.13,0.00,1.15
1.487304716066e+12,-0.13,-0.01,1.02
1.487304716562e+12,-0.12,-0.02,1.04
1.487304717059e+12,-0.14,-0.02,0.99
1.487304717555e+12,-0.12,0.01,1.00
1.48730471805e+12,-0.12,-0.01,0.98
1.487304718547e+12,-0.09,0.04,0.93
1.487304719042e+12,-0.12,-0.03,1.05
1.487304719539e+12,-0.12,-0.00,0.97
1.487304720035e+12,-0.11,0.01,1.02
1.487304720531e+12,-0.13,-0.03,1.00
1.487304721031e+12,-0.13,0.00,1.04
1.487304721531e+12,-0.13,-0.02,0.99
1.487304722003e+12,-0.08,0.05,0.93
1.487304722514e+12,-0.12,-0.01,1.05
1.487304722996e+12,-0.11,0.01,0.98
1.487304723489e+12,-0.12,0.00,1.03
1.487304724013e+12,-0.13,-0.02,1.00
1.487304724502e+12,-0.12,-0.00,1.04
1.487304724996e+12,-0.13,-0.01,1.01
1.487304725489e+12,-0.12,-0.02,1.04
